id,year,indoor_outdoor,location,match_duration,pais_anfitrion,prize_currency,prize_money,series_category_id,surface,1ST_SERVE_POINTS_WON,1ST_SERVE_RETURN_POINTS_WON,2ND_SERVE_POINTS_WON,2ND_SERVE_RETURN_POINTS_WON,ACES,age,backhand,BREAK_POINTS_CONVERTED,BREAK_POINTS_SAVED,citizenship,DOUBLE_FAULTS,FIRST_SERVE,handedness,name,PERCENTAGE_RETURN_GAME_WON,PERCENTAGE_SERVE_GAME_WON,RETURN_GAMES_PLAYED,RETURN_POINTS_WON,RETURN_RATING,SERVE_RATING,SERVICE_GAMES_PLAYED,SERVICE_POINTS_WON,tiebreaks_won,TOTAL_POINTS_WON,weight,Event,height
6573,2000,O,Doha,80.0,QAT,$,1000000.0,atp250,Hard,69.23,52.63,36.84,55.0,1.0,26.516,One-Handed Backhand,35.29,57.14,ESP,7.0,67.24,Right-Handed,Alberto Berasategui,60.0,-22.22,10.0,53.85,202.93,145.09,9.0,58.62,0.0,55.88,66.0,1,173.0
6574,2000,O,Doha,84.0,QAT,$,1000000.0,atp250,Hard,57.89,43.59,76.19,60.0,0.0,24.755,Unknown Backhand,45.45,60.0,SUI,1.0,64.41,Right-Handed,George Bastl,50.0,20.0,10.0,50.0,199.04,217.49,10.0,64.41,0.0,56.91,85.0,1,183.0
6575,2000,O,Doha,76.0,QAT,$,1000000.0,atp250,Hard,82.14,41.46,78.57,64.0,3.0,29.497,Unknown Backhand,40.0,0.0,RUS,0.0,66.67,Right-Handed,Andrei Cherkasov,44.44,88.89,9.0,50.0,189.91,319.27,9.0,80.95,0.0,62.04,75.0,1,180.0
6576,2000,O,Doha,143.0,QAT,$,1000000.0,atp250,Hard,65.28,28.07,45.71,60.0,1.0,29.61,Unknown Backhand,71.43,64.29,ITA,1.0,67.29,Right-Handed,Cristiano Caratti,31.25,-43.75,16.0,42.16,190.75,134.53,16.0,58.88,1.0,50.72,77.0,1,178.0
6577,2000,O,Doha,120.0,QAT,$,1000000.0,atp250,Hard,75.81,34.43,56.0,51.43,3.0,28.309,Two-Handed Backhand,30.0,87.5,MAR,1.0,71.26,Right-Handed,Younes El Aynaoui,23.08,-7.14,13.0,40.62,138.93,197.93,14.0,70.11,0.0,54.64,86.0,1,193.0
6578,2000,O,Doha,110.0,QAT,$,1000000.0,atp250,Hard,70.97,37.78,34.48,80.95,0.0,21.067,One-Handed Backhand,75.0,66.67,ARG,2.0,68.13,Right-Handed,Gaston Gaudio,50.0,16.67,12.0,51.52,243.73,188.25,12.0,59.34,0.0,56.05,70.0,1,175.0
6579,2000,O,Doha,128.0,QAT,$,1000000.0,atp250,Hard,78.72,32.08,44.44,43.33,8.0,22.494,Two-Handed Backhand,50.0,33.33,GER,6.0,56.63,Right-Handed,Nicolas Kiefer,16.67,66.67,12.0,36.14,142.08,248.46,12.0,63.86,2.0,50.0,80.0,1,183.0
6580,2000,O,Doha,,QAT,$,1000000.0,atp250,Hard,,,,,,24.836,Two-Handed Backhand,,,CRC,,,Right-Handed,Juan Antonio Marin,,,,,,,,,,,73.0,1,175.0
6581,2000,O,Doha,71.0,QAT,$,1000000.0,atp250,Hard,75.47,41.86,53.85,33.33,10.0,22.491,One-Handed Backhand,33.33,100.0,BLR,0.0,80.3,Right-Handed,Max Mirnyi,30.0,20.0,10.0,39.66,138.53,239.62,10.0,71.21,0.0,56.45,93.0,1,196.0
6582,2000,O,Doha,78.0,QAT,$,1000000.0,atp250,Hard,66.67,50.0,50.0,62.5,2.0,27.067,Two-Handed Backhand,54.55,33.33,FRA,1.0,57.69,Right-Handed,Fabrice Santoro,66.67,50.0,9.0,54.84,233.71,225.36,8.0,59.62,0.0,57.02,74.0,1,178.0
6583,2000,O,Doha,73.0,QAT,$,1000000.0,atp250,Hard,72.73,26.32,54.17,76.0,2.0,24.365,One-Handed Backhand,44.44,66.67,ARG,3.0,57.89,Left-Handed,Franco Squillari,44.44,44.44,9.0,46.03,191.2,228.23,9.0,64.91,0.0,55.0,80.0,1,183.0
6584,2000,O,Doha,93.0,QAT,$,1000000.0,atp250,Hard,79.55,52.08,38.1,42.42,7.0,23.319,One-Handed Backhand,38.46,50.0,NED,4.0,67.69,Right-Handed,Sjeng Schalken,45.45,18.18,11.0,48.15,178.42,206.51,11.0,66.15,0.0,56.16,82.0,1,193.0
6585,2000,O,Doha,86.0,QAT,$,1000000.0,atp250,Hard,72.92,37.5,68.75,50.0,2.0,23.69,Two-Handed Backhand,50.0,,GER,0.0,75.0,Right-Handed,Rainer Schuettler,20.0,100.0,10.0,41.67,157.5,318.67,10.0,71.88,1.0,55.88,74.0,1,180.0
6586,2000,O,Doha,82.0,QAT,$,1000000.0,atp250,Hard,73.91,31.82,70.0,45.71,7.0,27.827,Unknown Backhand,28.57,0.0,SWE,0.0,69.7,Right-Handed,Mikael Tillstrom,18.18,90.91,11.0,37.97,124.29,311.52,11.0,72.73,1.0,53.79,73.0,1,185.0
6587,2000,O,Doha,101.0,QAT,$,1000000.0,atp250,Hard,69.81,43.14,25.93,43.59,7.0,28.755,Unknown Backhand,57.14,44.44,CZE,4.0,66.25,Right-Handed,Daniel Vacek,33.33,0.0,12.0,43.33,177.2,164.99,13.0,55.0,0.0,48.82,81.0,1,191.0
6588,2000,O,Doha,,QAT,$,1000000.0,atp250,Hard,,,,,,23.731,Unknown Backhand,,,NED,,,Right-Handed,John van Lottum,,,,,,,,,,,72.0,1,185.0
6589,2000,O,Doha,57.0,QAT,$,1000000.0,atp250,Hard,65.85,55.17,81.82,54.55,2.0,24.755,Unknown Backhand,83.33,80.0,SUI,0.0,78.85,Right-Handed,George Bastl,62.5,-12.5,8.0,55.0,255.55,216.02,8.0,69.23,0.0,63.04,85.0,1,183.0
6590,2000,O,Doha,77.0,QAT,$,1000000.0,atp250,Hard,69.23,38.1,78.57,43.48,5.0,28.309,Two-Handed Backhand,42.86,0.0,MAR,1.0,73.58,Right-Handed,Younes El Aynaoui,30.0,90.0,10.0,40.0,154.43,315.39,10.0,71.7,0.0,54.24,86.0,1,193.0
6591,2000,O,Doha,60.0,QAT,$,1000000.0,atp250,Hard,75.86,51.43,66.67,71.43,5.0,22.494,Two-Handed Backhand,62.5,100.0,GER,1.0,70.73,Right-Handed,Nicolas Kiefer,71.43,71.43,7.0,57.14,256.79,288.69,7.0,73.17,0.0,64.44,80.0,1,183.0
6592,2000,O,Doha,40.0,QAT,$,1000000.0,atp250,Hard,86.36,61.11,60.0,71.43,6.0,22.491,One-Handed Backhand,83.33,,BLR,3.0,59.46,Right-Handed,Max Mirnyi,83.33,100.0,6.0,65.62,299.21,308.82,7.0,75.68,0.0,71.01,93.0,1,196.0
6593,2000,O,Doha,105.0,QAT,$,1000000.0,atp250,Hard,81.08,44.9,64.29,39.47,4.0,27.067,Two-Handed Backhand,27.27,100.0,FRA,0.0,56.92,Right-Handed,Fabrice Santoro,30.0,33.33,10.0,42.53,141.64,239.62,9.0,73.85,1.0,55.92,74.0,1,178.0
6594,2000,O,Doha,91.0,QAT,$,1000000.0,atp250,Hard,85.71,32.61,57.89,65.91,1.0,23.319,One-Handed Backhand,33.33,50.0,NED,5.0,42.42,Right-Handed,Sjeng Schalken,41.67,75.0,12.0,48.89,173.52,257.03,12.0,69.7,0.0,57.69,82.0,1,193.0
6595,2000,O,Doha,75.0,QAT,$,1000000.0,atp250,Hard,75.0,29.63,54.17,73.91,3.0,23.69,Two-Handed Backhand,57.14,100.0,GER,0.0,60.0,Right-Handed,Rainer Schuettler,44.44,25.0,9.0,50.0,205.13,217.17,8.0,66.67,0.0,59.09,74.0,1,180.0
6596,2000,O,Doha,94.0,QAT,$,1000000.0,atp250,Hard,75.0,25.0,66.67,46.15,3.0,27.827,Unknown Backhand,66.67,50.0,SWE,1.0,72.73,Right-Handed,Mikael Tillstrom,18.18,72.73,11.0,33.33,156.0,289.12,11.0,72.73,1.0,53.03,73.0,1,185.0
6597,2000,O,Doha,84.0,QAT,$,1000000.0,atp250,Hard,77.36,36.73,47.06,51.72,8.0,28.309,Two-Handed Backhand,33.33,100.0,MAR,2.0,75.71,Right-Handed,Younes El Aynaoui,27.27,40.0,11.0,42.31,149.06,246.13,10.0,70.0,0.0,55.41,86.0,1,193.0
6598,2000,O,Doha,67.0,QAT,$,1000000.0,atp250,Hard,82.86,59.26,36.84,61.54,4.0,22.494,Two-Handed Backhand,50.0,100.0,GER,1.0,64.81,Right-Handed,Nicolas Kiefer,83.33,-14.29,6.0,60.0,254.13,173.23,7.0,66.67,0.0,63.83,80.0,1,183.0
6599,2000,O,Doha,78.0,QAT,$,1000000.0,atp250,Hard,73.53,38.89,68.42,45.45,3.0,27.067,Two-Handed Backhand,75.0,100.0,FRA,2.0,64.15,Right-Handed,Fabrice Santoro,33.33,77.78,9.0,41.38,192.68,284.88,9.0,71.7,0.0,55.86,74.0,1,178.0
6600,2000,O,Doha,63.0,QAT,$,1000000.0,atp250,Hard,77.14,39.29,76.92,50.0,6.0,23.69,Two-Handed Backhand,33.33,100.0,GER,2.0,72.92,Right-Handed,Rainer Schuettler,37.5,77.78,8.0,44.23,160.12,308.76,9.0,77.08,0.0,60.0,74.0,1,180.0
6601,2000,O,Doha,99.0,QAT,$,1000000.0,atp250,Hard,63.16,30.3,62.07,62.16,2.0,27.067,Two-Handed Backhand,57.14,71.43,FRA,1.0,56.72,Right-Handed,Fabrice Santoro,36.36,-9.09,11.0,47.14,185.97,173.85,11.0,62.69,0.0,54.74,74.0,1,178.0
