id,year,indoor_outdoor,location,match_duration,pais_anfitrion,prize_currency,prize_money,series_category_id,surface,1ST_SERVE_POINTS_WON,1ST_SERVE_RETURN_POINTS_WON,2ND_SERVE_POINTS_WON,2ND_SERVE_RETURN_POINTS_WON,ACES,age,backhand,BREAK_POINTS_CONVERTED,BREAK_POINTS_SAVED,citizenship,DOUBLE_FAULTS,FIRST_SERVE,handedness,name,PERCENTAGE_RETURN_GAME_WON,PERCENTAGE_SERVE_GAME_WON,RETURN_GAMES_PLAYED,RETURN_POINTS_WON,RETURN_RATING,SERVE_RATING,SERVICE_GAMES_PLAYED,SERVICE_POINTS_WON,tiebreaks_won,TOTAL_POINTS_WON,weight,Event,height
221718,2020,O,Brisbane/Perth/Sydney,74.0,AUS,$,15000000.0,atpCup,Hard,92.31,45.71,44.44,60.87,11.0,33.626,Two-Handed Backhand,41.67,,RSA,0.0,74.29,Right-Handed,Kevin Anderson,62.5,100.0,8.0,51.72,210.75,322.04,7.0,80.0,0.0,62.37,94.0,1,203.0
221719,2020,O,Brisbane/Perth/Sydney,153.0,AUS,$,15000000.0,atpCup,Hard,75.0,19.05,44.19,57.14,11.0,33.626,Two-Handed Backhand,50.0,69.23,RSA,5.0,62.61,Right-Handed,Kevin Anderson,12.5,-37.5,16.0,34.29,138.69,150.29,16.0,63.48,2.0,49.55,94.0,1,203.0
221720,2020,O,Brisbane/Perth/Sydney,69.0,AUS,$,15000000.0,atpCup,Hard,84.62,33.33,62.5,57.14,5.0,19.403,Two-Handed Backhand,40.0,,CAN,4.0,61.9,Right-Handed,Felix Auger-Aliassime,50.0,100.0,8.0,47.83,180.48,310.02,8.0,76.19,0.0,61.36,88.0,1,193.0
221721,2020,O,Brisbane/Perth/Sydney,72.0,AUS,$,15000000.0,atpCup,Hard,83.33,51.22,83.33,73.08,1.0,31.72,Two-Handed Backhand,42.86,100.0,ESP,0.0,60.0,Right-Handed,Roberto Bautista Agut,100.0,66.67,6.0,59.7,267.15,294.33,6.0,83.33,0.0,67.01,75.0,1,183.0
221722,2020,O,Brisbane/Perth/Sydney,57.0,AUS,$,15000000.0,atpCup,Hard,74.07,51.61,66.67,75.0,2.0,31.72,Two-Handed Backhand,60.0,66.67,ESP,0.0,69.23,Right-Handed,Roberto Bautista Agut,75.0,28.57,8.0,59.57,261.61,240.54,7.0,71.79,0.0,65.12,75.0,1,183.0
221723,2020,O,Brisbane/Perth/Sydney,79.0,AUS,$,15000000.0,atpCup,Hard,81.25,31.58,66.67,63.64,6.0,31.72,Two-Handed Backhand,37.5,,ESP,0.0,68.09,Right-Handed,Roberto Bautista Agut,33.33,100.0,9.0,43.33,166.05,322.0,9.0,76.6,0.0,57.94,75.0,1,183.0
221724,2020,O,Brisbane/Perth/Sydney,127.0,AUS,$,15000000.0,atpCup,Hard,73.58,31.94,48.57,53.49,4.0,27.862,Two-Handed Backhand,13.33,33.33,GEO,5.0,60.23,Right-Handed,Nikoloz Basilashvili,14.29,69.23,14.0,40.0,113.05,250.61,13.0,63.64,0.0,50.25,79.0,1,185.0
221725,2020,O,Brisbane/Perth/Sydney,146.0,AUS,$,15000000.0,atpCup,Hard,82.76,29.23,63.89,36.84,15.0,31.266,Two-Handed Backhand,40.0,100.0,CRO,3.0,61.7,Right-Handed,Marin Cilic,12.5,75.0,16.0,32.04,118.57,295.35,16.0,75.53,0.0,52.79,89.0,1,198.0
221726,2020,O,Brisbane/Perth/Sydney,129.0,AUS,$,15000000.0,atpCup,Hard,84.78,32.69,51.85,47.73,4.0,31.266,Two-Handed Backhand,7.69,100.0,CRO,3.0,63.01,Right-Handed,Marin Cilic,9.09,27.27,11.0,39.58,97.2,227.92,11.0,72.6,1.0,53.85,89.0,1,198.0
221727,2020,O,Brisbane/Perth/Sydney,162.0,AUS,$,15000000.0,atpCup,Hard,72.58,20.0,44.44,64.86,5.0,23.137,Two-Handed Backhand,33.33,66.67,CRO,2.0,57.94,Right-Handed,Borna Coric,21.43,-33.33,14.0,38.04,139.63,144.64,15.0,60.75,1.0,50.25,85.0,1,188.0
