id,year,indoor_outdoor,location,match_duration,pais_anfitrion,prize_currency,prize_money,series_category_id,surface,1ST_SERVE_POINTS_WON,1ST_SERVE_RETURN_POINTS_WON,2ND_SERVE_POINTS_WON,2ND_SERVE_RETURN_POINTS_WON,ACES,age,backhand,BREAK_POINTS_CONVERTED,BREAK_POINTS_SAVED,citizenship,DOUBLE_FAULTS,FIRST_SERVE,handedness,name,PERCENTAGE_RETURN_GAME_WON,PERCENTAGE_SERVE_GAME_WON,RETURN_GAMES_PLAYED,RETURN_POINTS_WON,RETURN_RATING,SERVE_RATING,SERVICE_GAMES_PLAYED,SERVICE_POINTS_WON,tiebreaks_won,TOTAL_POINTS_WON,weight,Event,height
21447,2002,O,Doha,140.0,QAT,$,1000000.0,atp250,Hard,79.63,28.0,61.11,58.93,6.0,29.771,Two-Handed Backhand,20.0,75.0,SWE,1.0,60.0,Right-Handed,Jonas Bjorkman,20.0,56.25,15.0,41.22,126.93,261.99,16.0,72.22,0.0,53.85,83.0,1,183.0
21448,2002,O,Doha,81.0,QAT,$,1000000.0,atp250,Hard,70.59,41.94,36.36,75.0,6.0,28.852,Unknown Backhand,66.67,25.0,FRA,1.0,60.71,Right-Handed,Antony Dupuis,66.67,44.44,9.0,57.63,250.27,217.11,9.0,57.14,0.0,57.39,87.0,1,185.0
21449,2002,O,Doha,95.0,QAT,$,1000000.0,atp250,Hard,87.88,42.5,36.67,51.28,2.0,20.577,Two-Handed Backhand,30.77,85.71,RUS,3.0,52.38,Right-Handed,Nikolay Davydenko,44.44,-44.44,9.0,46.84,169.0,131.48,9.0,63.49,0.0,54.23,72.0,1,178.0
21450,2002,O,Doha,104.0,QAT,$,1000000.0,atp250,Hard,81.13,22.92,45.0,56.1,12.0,30.301,Two-Handed Backhand,20.0,66.67,MAR,2.0,72.6,Right-Handed,Younes El Aynaoui,18.18,54.55,11.0,38.2,117.2,263.28,11.0,71.23,1.0,53.09,86.0,1,193.0
21451,2002,O,Doha,118.0,QAT,$,1000000.0,atp250,Hard,69.84,29.63,51.02,42.22,11.0,30.298,Two-Handed Backhand,28.57,90.0,CRO,4.0,56.25,Left-Handed,Goran Ivanisevic,14.29,-35.71,14.0,35.35,114.71,148.4,14.0,61.61,0.0,49.29,82.0,1,193.0
21452,2002,O,Doha,132.0,QAT,$,1000000.0,atp250,Hard,65.62,30.95,40.91,56.25,2.0,27.672,Unknown Backhand,25.0,62.5,AUT,4.0,59.26,Left-Handed,Julian Knowle,22.22,-62.5,9.0,37.93,134.42,101.29,8.0,55.56,1.0,46.43,75.0,1,188.0
21453,2002,O,Doha,83.0,QAT,$,1000000.0,atp250,Hard,74.19,30.0,52.5,74.07,7.0,27.868,Two-Handed Backhand,80.0,50.0,RUS,3.0,43.66,Right-Handed,Yevgeny Kafelnikov,36.36,18.18,11.0,47.76,220.44,192.54,11.0,61.97,1.0,55.07,84.0,1,191.0
21454,2002,O,Doha,66.0,QAT,$,1000000.0,atp250,Hard,76.67,58.82,47.83,47.06,3.0,27.271,One-Handed Backhand,35.71,100.0,ESP,2.0,56.6,Right-Handed,Felix Mantilla,71.43,14.29,7.0,54.9,213.03,196.38,7.0,64.15,0.0,59.62,78.0,1,180.0
21455,2002,O,Doha,76.0,QAT,$,1000000.0,atp250,Hard,77.14,26.92,55.56,55.0,3.0,21.096,One-Handed Backhand,75.0,100.0,ESP,4.0,56.45,Right-Handed,Albert Montanes,37.5,-55.56,8.0,39.13,194.42,132.59,9.0,67.74,0.0,55.56,70.0,1,175.0
21456,2002,O,Doha,93.0,QAT,$,1000000.0,atp250,Hard,58.93,35.42,65.22,58.06,4.0,26.774,Two-Handed Backhand,62.5,50.0,CZE,2.0,70.89,Right-Handed,Jiri Novak,38.46,30.77,13.0,44.3,194.44,227.8,13.0,60.76,0.0,52.53,86.0,1,191.0
21457,2002,O,Doha,46.0,QAT,$,1000000.0,atp250,Hard,80.65,44.44,80.0,68.18,6.0,29.456,Unknown Backhand,100.0,,UZB,0.0,75.61,Right-Handed,Oleg Ogorodov,57.14,100.0,7.0,57.5,269.77,342.25,8.0,80.49,0.0,69.14,87.0,1,193.0
