id,year,indoor_outdoor,location,match_duration,pais_anfitrion,prize_currency,prize_money,series_category_id,surface,1ST_SERVE_POINTS_WON,1ST_SERVE_RETURN_POINTS_WON,2ND_SERVE_POINTS_WON,2ND_SERVE_RETURN_POINTS_WON,ACES,age,backhand,BREAK_POINTS_CONVERTED,BREAK_POINTS_SAVED,citizenship,DOUBLE_FAULTS,FIRST_SERVE,handedness,name,PERCENTAGE_RETURN_GAME_WON,PERCENTAGE_SERVE_GAME_WON,RETURN_GAMES_PLAYED,RETURN_POINTS_WON,RETURN_RATING,SERVE_RATING,SERVICE_GAMES_PLAYED,SERVICE_POINTS_WON,tiebreaks_won,TOTAL_POINTS_WON,weight,Event,height
147491,2014,O,Brisbane,73.0,AUS,$,511825.0,atp250,Hard,70.0,41.67,57.69,53.12,5.0,23.521,Two-Handed Backhand,44.44,71.43,LTU,6.0,60.61,Right-Handed,Ricardas Berankis,44.44,-20.0,9.0,48.21,183.68,167.3,10.0,65.15,0.0,57.38,77.0,1,175.0
147492,2014,O,Brisbane,58.0,AUS,$,511825.0,atp250,Hard,87.1,33.33,64.29,68.18,14.0,23.198,One-Handed Backhand,30.0,,ROU,0.0,68.89,Right-Handed,Marius Copil,37.5,100.0,8.0,45.9,169.02,334.27,9.0,80.0,0.0,60.38,90.0,1,191.0
147493,2014,O,Brisbane,130.0,AUS,$,511825.0,atp250,Hard,65.75,38.71,54.84,51.22,6.0,26.435,One-Handed Backhand,27.78,87.5,KAZ,2.0,70.19,Right-Handed,Andrey Golubev,35.71,-7.14,14.0,43.69,153.42,187.64,14.0,62.5,0.0,53.14,77.0,1,180.0
147494,2014,O,Brisbane,64.0,AUS,$,511825.0,atp250,Hard,76.6,35.71,66.67,53.85,8.0,21.642,Two-Handed Backhand,66.67,100.0,USA,1.0,83.93,Right-Handed,Ryan Harrison,22.22,60.0,9.0,40.0,178.45,294.19,10.0,75.0,0.0,57.66,84.0,1,185.0
147495,2014,O,Brisbane,57.0,AUS,$,511825.0,atp250,Hard,80.0,21.88,63.64,80.0,13.0,22.779,Two-Handed Backhand,33.33,100.0,FRA,1.0,61.4,Right-Handed,Pierre-Hugues Herbert,37.5,-11.11,8.0,40.43,172.71,205.93,9.0,73.68,0.0,58.65,75.0,1,188.0
147496,2014,O,Brisbane,61.0,AUS,$,511825.0,atp250,Hard,84.21,35.48,73.91,54.17,2.0,25.612,Two-Handed Backhand,40.0,100.0,JPN,2.0,45.24,Right-Handed,Tatsuma Ito,44.44,75.0,9.0,43.64,174.09,278.36,8.0,78.57,0.0,58.76,75.0,1,180.0
147497,2014,O,Brisbane,,AUS,$,511825.0,atp250,Hard,,,,,,26.897,Two-Handed Backhand,,,USA,,,Right-Handed,Alex Kuznetsov,,,,,,,,,,,78.0,1,183.0
147498,2014,O,Brisbane,,AUS,$,511825.0,atp250,Hard,,,,,,26.548,Two-Handed Backhand,,,TUR,,,Right-Handed,Marsel Ilhan,,,,,,,,,,,80.0,1,191.0
147499,2014,O,Brisbane,87.0,AUS,$,511825.0,atp250,Hard,82.98,26.92,40.0,42.5,9.0,23.357,Two-Handed Backhand,42.86,50.0,USA,4.0,65.28,Left-Handed,Bradley Klahn,30.0,45.45,10.0,36.36,142.28,238.71,11.0,68.06,1.0,52.9,75.0,1,183.0
147500,2014,O,Brisbane,48.0,AUS,$,511825.0,atp250,Hard,82.61,58.06,66.67,61.54,10.0,17.717,Two-Handed Backhand,71.43,,AUS,2.0,56.1,Right-Handed,Thanasi Kokkinakis,71.43,100.0,7.0,59.09,262.46,313.37,7.0,75.61,0.0,67.06,84.0,1,193.0
147501,2014,O,Brisbane,67.0,AUS,$,511825.0,atp250,Hard,86.84,37.21,52.94,21.43,8.0,21.08,Unknown Backhand,66.67,100.0,AUS,1.0,69.09,Right-Handed,Benjamin Mitchell,20.0,80.0,10.0,33.33,145.3,295.87,10.0,76.36,0.0,54.46,80.0,1,183.0
