id,year,indoor_outdoor,location,match_duration,pais_anfitrion,prize_currency,prize_money,series_category_id,surface,1ST_SERVE_POINTS_WON,1ST_SERVE_RETURN_POINTS_WON,2ND_SERVE_POINTS_WON,2ND_SERVE_RETURN_POINTS_WON,ACES,age,backhand,BREAK_POINTS_CONVERTED,BREAK_POINTS_SAVED,citizenship,DOUBLE_FAULTS,FIRST_SERVE,handedness,name,PERCENTAGE_RETURN_GAME_WON,PERCENTAGE_SERVE_GAME_WON,RETURN_GAMES_PLAYED,RETURN_POINTS_WON,RETURN_RATING,SERVE_RATING,SERVICE_GAMES_PLAYED,SERVICE_POINTS_WON,tiebreaks_won,TOTAL_POINTS_WON,weight,Event,height
197271,2018,O,Brisbane,101.0,AUS,$,528910.0,atp250,Hard,79.17,30.61,54.29,50.0,17.0,21.489,Two-Handed Backhand,50.0,66.67,USA,2.0,57.83,Right-Handed,Ernesto Escobedo,28.57,28.57,14.0,38.27,159.18,234.86,14.0,68.67,0.0,53.66,82.0,1,185.0
197272,2018,O,Brisbane,116.0,AUS,$,528910.0,atp250,Hard,74.55,25.93,65.38,60.0,7.0,27.282,Two-Handed Backhand,25.0,0.0,CRO,0.0,67.9,Right-Handed,Viktor Galovic,23.08,92.86,13.0,39.33,134.0,307.69,14.0,71.6,0.0,54.71,88.0,1,193.0
197273,2018,O,Brisbane,85.0,AUS,$,528910.0,atp250,Hard,80.95,17.02,75.0,53.85,10.0,26.131,Two-Handed Backhand,25.0,,GER,2.0,63.64,Right-Handed,Yannick Hanfmann,9.09,100.0,11.0,30.14,104.96,327.59,11.0,78.79,1.0,53.24,86.0,1,193.0
197274,2018,O,Brisbane,92.0,AUS,$,528910.0,atp250,Hard,70.83,14.71,54.55,56.0,7.0,25.155,Two-Handed Backhand,50.0,80.0,SVK,3.0,59.26,Right-Handed,Jozef Kovalik,27.27,-63.64,11.0,32.2,147.98,125.0,11.0,64.2,1.0,50.71,82.0,1,183.0
197275,2018,O,Brisbane,79.0,AUS,$,528910.0,atp250,Hard,78.12,27.59,75.0,46.88,8.0,19.973,Two-Handed Backhand,40.0,100.0,USA,4.0,57.14,Right-Handed,Michael Mmoh,20.0,20.0,10.0,37.7,134.46,234.27,10.0,76.79,0.0,56.41,90.0,1,188.0
197276,2018,O,Brisbane,115.0,AUS,$,528910.0,atp250,Hard,68.42,35.71,57.14,44.44,17.0,21.634,Two-Handed Backhand,30.0,62.5,AUT,3.0,67.06,Right-Handed,Sebastian Ofner,21.43,7.14,14.0,39.13,131.59,213.77,14.0,64.71,1.0,51.41,81.0,1,191.0
197277,2018,O,Brisbane,65.0,AUS,$,528910.0,atp250,Hard,84.62,50.0,56.0,45.83,4.0,29.543,Two-Handed Backhand,36.36,100.0,CAN,1.0,50.98,Right-Handed,Peter Polansky,50.0,75.0,8.0,48.28,182.2,269.6,8.0,70.59,0.0,58.72,80.0,1,183.0
197278,2018,O,Brisbane,58.0,AUS,$,528910.0,atp250,Hard,80.65,36.11,53.85,84.21,3.0,28.935,Two-Handed Backhand,80.0,,AUS,0.0,70.45,Left-Handed,John-Patrick Smith,44.44,100.0,9.0,52.73,244.77,307.95,8.0,72.73,0.0,61.62,84.0,1,188.0
197279,2018,O,Brisbane,85.0,AUS,$,528910.0,atp250,Hard,74.07,18.75,55.17,42.86,10.0,21.489,Two-Handed Backhand,100.0,100.0,USA,1.0,65.06,Right-Handed,Ernesto Escobedo,20.0,0.0,10.0,28.3,181.61,203.31,10.0,67.47,1.0,52.21,82.0,1,185.0
197280,2018,O,Brisbane,66.0,AUS,$,528910.0,atp250,Hard,86.67,14.29,78.95,62.5,6.0,19.973,Two-Handed Backhand,66.67,100.0,USA,1.0,61.22,Right-Handed,Michael Mmoh,22.22,80.0,9.0,36.54,165.67,311.84,10.0,83.67,0.0,59.41,90.0,1,188.0
197281,2018,O,Brisbane,129.0,AUS,$,528910.0,atp250,Hard,72.88,36.36,46.51,39.29,2.0,29.543,Two-Handed Backhand,60.0,85.71,CAN,3.0,57.84,Right-Handed,Peter Polansky,25.0,0.0,12.0,37.5,160.65,176.24,13.0,61.76,0.0,51.72,80.0,1,183.0
197282,2018,O,Brisbane,132.0,AUS,$,528910.0,atp250,Hard,69.33,27.4,66.67,52.0,7.0,28.935,Two-Handed Backhand,50.0,90.0,AUS,0.0,75.76,Left-Handed,John-Patrick Smith,6.25,-26.67,16.0,33.67,135.65,192.09,15.0,68.69,1.0,51.27,84.0,1,188.0
197283,2018,O,Brisbane,100.0,AUS,$,528910.0,atp250,Hard,82.86,17.5,58.62,64.29,7.0,21.615,Two-Handed Backhand,40.0,100.0,KOR,4.0,54.69,Right-Handed,Hyeon Chung,18.18,60.0,11.0,36.76,139.97,259.17,10.0,71.88,1.0,53.79,89.0,1,188.0
197284,2018,O,Brisbane,94.0,AUS,$,528910.0,atp250,Hard,80.0,35.29,55.17,44.44,6.0,29.147,Two-Handed Backhand,66.67,75.0,UKR,4.0,57.97,Right-Handed,Alexandr Dolgopolov,18.18,36.36,11.0,40.0,164.59,231.51,11.0,69.57,1.0,54.68,71.0,1,180.0
