id,year,indoor_outdoor,location,match_duration,pais_anfitrion,prize_currency,prize_money,series_category_id,surface,1ST_SERVE_POINTS_WON,1ST_SERVE_RETURN_POINTS_WON,2ND_SERVE_POINTS_WON,2ND_SERVE_RETURN_POINTS_WON,ACES,age,backhand,BREAK_POINTS_CONVERTED,BREAK_POINTS_SAVED,citizenship,DOUBLE_FAULTS,FIRST_SERVE,handedness,name,PERCENTAGE_RETURN_GAME_WON,PERCENTAGE_SERVE_GAME_WON,RETURN_GAMES_PLAYED,RETURN_POINTS_WON,RETURN_RATING,SERVE_RATING,SERVICE_GAMES_PLAYED,SERVICE_POINTS_WON,tiebreaks_won,TOTAL_POINTS_WON,weight,Event,height
135147,2013,O,Brisbane,,AUS,$,494230.0,atp250,Hard,,,,,,29.685,Two-Handed Backhand,,,RUS,,,Right-Handed,Alex Bogomolov Jr.,,,,,,,,,,,75.0,1,178.0
135148,2013,O,Brisbane,127.0,AUS,$,494230.0,atp250,Hard,71.05,31.58,65.62,57.63,1.0,22.524,Two-Handed Backhand,21.43,33.33,LTU,2.0,54.29,Right-Handed,Ricardas Berankis,25.0,66.67,12.0,44.83,135.63,256.63,12.0,68.57,1.0,53.76,77.0,1,175.0
135149,2013,O,Brisbane,71.0,AUS,$,494230.0,atp250,Hard,85.71,41.67,54.17,61.9,7.0,28.26,One-Handed Backhand,50.0,100.0,CAN,2.0,53.85,Right-Handed,Frank Dancevic,50.0,0.0,8.0,49.12,203.57,198.73,8.0,71.15,0.0,59.63,79.0,1,185.0
135150,2013,O,Brisbane,71.0,AUS,$,494230.0,atp250,Hard,77.14,21.88,72.41,58.33,14.0,20.94,Two-Handed Backhand,66.67,100.0,AUS,1.0,54.69,Right-Handed,James Duckworth,22.22,80.0,9.0,37.5,169.1,297.24,10.0,75.0,1.0,57.5,82.0,1,183.0
135151,2013,O,Brisbane,60.0,AUS,$,494230.0,atp250,Hard,71.05,31.58,62.5,45.83,3.0,20.645,Two-Handed Backhand,100.0,100.0,USA,2.0,61.29,Right-Handed,Ryan Harrison,37.5,-55.56,8.0,39.53,214.91,140.29,9.0,67.74,0.0,56.19,84.0,1,185.0
135152,2013,O,Brisbane,66.0,AUS,$,494230.0,atp250,Hard,83.33,30.56,58.33,55.0,8.0,23.016,Two-Handed Backhand,60.0,50.0,USA,3.0,55.56,Right-Handed,Steve Johnson,33.33,70.0,9.0,39.29,178.89,272.22,10.0,72.22,0.0,55.45,86.0,1,188.0
135153,2013,O,Brisbane,123.0,AUS,$,494230.0,atp250,Hard,73.08,25.45,73.17,41.94,2.0,31.25,Unknown Backhand,40.0,50.0,RUS,2.0,55.91,Right-Handed,Igor Kunitsyn,14.29,80.0,14.0,31.4,121.68,282.16,15.0,73.12,1.0,53.07,75.0,1,180.0
135154,2013,O,Brisbane,123.0,AUS,$,494230.0,atp250,Hard,67.86,23.81,47.83,47.73,7.0,29.392,Unknown Backhand,30.0,66.67,GER,6.0,54.9,Left-Handed,Bastian Knittel,21.43,-7.14,14.0,36.05,122.97,164.44,14.0,58.82,0.0,48.4,71.0,1,180.0
135155,2013,O,Brisbane,137.0,AUS,$,494230.0,atp250,Hard,73.02,27.42,61.54,53.33,3.0,20.368,Two-Handed Backhand,71.43,57.14,USA,4.0,61.76,Right-Handed,Denis Kudla,29.41,35.29,17.0,38.32,181.59,230.61,17.0,68.63,0.0,53.11,79.0,1,180.0
135156,2013,O,Brisbane,78.0,AUS,$,494230.0,atp250,Hard,76.47,41.86,60.87,54.17,2.0,25.206,Two-Handed Backhand,44.44,80.0,CAN,2.0,59.65,Left-Handed,Jesse Levine,40.0,0.0,10.0,46.27,180.47,196.99,9.0,70.18,0.0,57.26,68.0,1,175.0
135157,2013,O,Brisbane,75.0,AUS,$,494230.0,atp250,Hard,77.42,35.56,61.54,51.72,14.0,28.607,Unknown Backhand,36.36,60.0,CZE,0.0,54.39,Right-Handed,Ivo Minar,36.36,27.27,11.0,41.89,160.01,234.62,11.0,70.18,0.0,54.2,85.0,1,183.0
135158,2013,O,Brisbane,63.0,AUS,$,494230.0,atp250,Hard,95.45,37.84,73.33,73.33,4.0,23.543,Two-Handed Backhand,50.0,,AUS,0.0,59.46,Right-Handed,John Millman,50.0,100.0,8.0,48.08,211.17,332.25,8.0,86.49,0.0,64.04,79.0,1,183.0
135159,2013,O,Brisbane,154.0,AUS,$,494230.0,atp250,Hard,75.0,21.15,54.17,40.0,3.0,22.204,Two-Handed Backhand,25.0,80.0,JPN,11.0,43.75,Right-Handed,Hiroki Moriya,6.67,-12.5,15.0,29.35,92.82,152.42,16.0,63.28,1.0,49.09,65.0,1,168.0
135160,2013,O,Brisbane,69.0,AUS,$,494230.0,atp250,Hard,80.56,25.0,55.88,61.54,0.0,21.293,Two-Handed Backhand,66.67,100.0,CHN,3.0,51.43,Right-Handed,Di Wu,22.22,20.0,9.0,33.96,175.43,204.87,10.0,68.57,0.0,53.66,65.0,1,173.0
135161,2013,O,Brisbane,75.0,AUS,$,494230.0,atp250,Hard,73.33,34.09,50.0,70.59,4.0,23.435,Two-Handed Backhand,50.0,75.0,USA,4.0,73.77,Left-Handed,Donald Young,33.33,30.0,9.0,44.26,188.01,227.1,10.0,67.21,0.0,55.74,79.0,1,183.0
135162,2013,O,Brisbane,60.0,AUS,$,494230.0,atp250,Hard,74.29,52.5,57.14,52.94,3.0,25.354,Two-Handed Backhand,66.67,,GER,2.0,71.43,Left-Handed,Mischa Zverev,50.0,100.0,8.0,52.63,222.11,303.86,8.0,69.39,0.0,60.38,88.0,1,191.0
135163,2013,O,Brisbane,79.0,AUS,$,494230.0,atp250,Hard,73.47,33.33,50.0,51.61,6.0,20.645,Two-Handed Backhand,60.0,66.67,USA,1.0,77.78,Right-Handed,Ryan Harrison,27.27,54.55,11.0,41.79,172.22,260.79,11.0,68.25,0.0,54.62,84.0,1,185.0
135164,2013,O,Brisbane,151.0,AUS,$,494230.0,atp250,Hard,75.93,32.31,56.52,46.0,18.0,23.016,Two-Handed Backhand,18.75,90.91,USA,4.0,54.0,Right-Handed,Steve Johnson,20.0,-40.0,15.0,38.26,117.06,160.45,15.0,67.0,0.0,51.63,86.0,1,188.0
135165,2013,O,Brisbane,125.0,AUS,$,494230.0,atp250,Hard,75.0,25.0,61.54,48.65,9.0,31.25,Unknown Backhand,60.0,100.0,RUS,4.0,60.61,Right-Handed,Igor Kunitsyn,21.43,60.0,14.0,35.29,155.08,262.14,15.0,69.7,0.0,53.8,75.0,1,180.0
135166,2013,O,Brisbane,113.0,AUS,$,494230.0,atp250,Hard,70.49,33.9,52.78,44.74,5.0,20.368,Two-Handed Backhand,42.86,72.73,USA,7.0,62.89,Right-Handed,Denis Kudla,18.75,-26.67,16.0,38.14,140.24,157.49,15.0,63.92,1.0,51.03,79.0,1,180.0
135167,2013,O,Brisbane,104.0,AUS,$,494230.0,atp250,Hard,73.68,33.33,57.69,61.29,6.0,25.206,Two-Handed Backhand,50.0,50.0,CAN,2.0,68.67,Left-Handed,Jesse Levine,26.67,57.14,15.0,42.86,171.29,261.19,14.0,68.67,0.0,55.17,68.0,1,175.0
135168,2013,O,Brisbane,77.0,AUS,$,494230.0,atp250,Hard,75.56,37.84,48.15,50.0,12.0,28.607,Unknown Backhand,42.86,80.0,CZE,0.0,62.5,Right-Handed,Ivo Minar,30.0,10.0,10.0,43.48,160.69,208.2,10.0,65.28,0.0,54.61,85.0,1,183.0
135169,2013,O,Brisbane,106.0,AUS,$,494230.0,atp250,Hard,68.75,47.62,58.82,38.89,9.0,23.543,Two-Handed Backhand,40.0,80.0,AUS,4.0,48.48,Right-Handed,John Millman,36.36,10.0,11.0,45.68,162.87,191.06,10.0,63.64,0.0,53.74,79.0,1,183.0
135170,2013,O,Brisbane,80.0,AUS,$,494230.0,atp250,Hard,72.22,29.27,35.29,73.91,2.0,23.435,Two-Handed Backhand,50.0,87.5,USA,4.0,76.06,Left-Handed,Donald Young,40.0,-50.0,10.0,45.31,193.18,131.57,10.0,63.38,0.0,54.81,79.0,1,183.0
135171,2013,O,Brisbane,61.0,AUS,$,494230.0,atp250,Hard,71.43,35.48,76.47,54.17,5.0,20.645,Two-Handed Backhand,37.5,100.0,USA,0.0,67.31,Right-Handed,Ryan Harrison,37.5,77.78,8.0,43.64,164.65,297.98,9.0,73.08,0.0,57.94,84.0,1,185.0
135172,2013,O,Brisbane,84.0,AUS,$,494230.0,atp250,Hard,75.0,32.0,53.57,38.1,11.0,20.368,Two-Handed Backhand,75.0,40.0,USA,2.0,61.11,Right-Handed,Denis Kudla,23.08,46.15,13.0,33.8,168.17,244.84,13.0,66.67,0.0,50.35,79.0,1,180.0
135173,2013,O,Brisbane,77.0,AUS,$,494230.0,atp250,Hard,79.59,27.5,62.5,53.85,13.0,25.206,Two-Handed Backhand,50.0,75.0,CAN,1.0,75.38,Left-Handed,Jesse Levine,20.0,36.36,10.0,37.88,151.35,265.84,11.0,75.38,1.0,56.49,68.0,1,175.0
135174,2013,O,Brisbane,72.0,AUS,$,494230.0,atp250,Hard,78.38,40.0,55.56,47.37,2.0,23.543,Two-Handed Backhand,50.0,100.0,AUS,2.0,67.27,Right-Handed,John Millman,33.33,33.33,9.0,42.86,170.7,234.54,9.0,70.91,0.0,57.69,79.0,1,183.0
135175,2013,O,Brisbane,77.0,AUS,$,494230.0,atp250,Hard,85.71,20.0,56.0,54.55,5.0,27.534,Two-Handed Backhand,100.0,100.0,CYP,1.0,58.33,Right-Handed,Marcos Baghdatis,20.0,20.0,10.0,33.33,194.55,224.05,10.0,73.33,0.0,53.85,82.0,1,178.0
135176,2013,O,Brisbane,82.0,AUS,$,494230.0,atp250,Hard,82.5,42.86,62.5,23.81,10.0,21.62,One-Handed Backhand,40.0,0.0,BUL,1.0,62.5,Right-Handed,Grigor Dimitrov,20.0,90.91,10.0,37.14,126.67,307.41,11.0,75.0,1.0,55.22,81.0,1,191.0
135177,2013,O,Brisbane,78.0,AUS,$,494230.0,atp250,Hard,86.96,35.56,61.54,44.83,11.0,29.126,Two-Handed Backhand,20.0,,COL,1.0,77.97,Left-Handed,Alejandro Falla,22.22,100.0,9.0,39.19,122.61,336.46,10.0,81.36,1.0,57.89,77.0,1,185.0
135178,2013,O,Brisbane,55.0,AUS,$,494230.0,atp250,Hard,78.57,50.0,73.33,50.0,2.0,22.061,Two-Handed Backhand,100.0,100.0,BEL,2.0,65.12,Right-Handed,David Goffin,50.0,50.0,8.0,50.0,250.0,267.02,8.0,76.74,0.0,63.86,70.0,1,180.0
135179,2013,O,Brisbane,124.0,AUS,$,494230.0,atp250,Hard,85.29,30.19,60.0,58.7,8.0,31.849,Two-Handed Backhand,40.0,50.0,AUS,2.0,49.28,Right-Handed,Lleyton Hewitt,28.57,76.92,14.0,43.43,157.46,277.49,13.0,72.46,0.0,55.36,77.0,1,178.0
135180,2013,O,Brisbane,70.0,AUS,$,494230.0,atp250,Hard,84.85,38.71,40.0,65.38,6.0,26.311,Two-Handed Backhand,30.77,100.0,UZB,2.0,62.26,Right-Handed,Denis Istomin,57.14,50.0,7.0,50.88,192.01,241.11,8.0,67.92,0.0,59.09,86.0,1,185.0
135181,2013,O,Brisbane,107.0,AUS,$,494230.0,atp250,Hard,72.73,22.92,52.17,53.49,5.0,31.604,Two-Handed Backhand,42.86,50.0,AUT,1.0,70.51,Left-Handed,Jurgen Melzer,21.43,35.71,14.0,37.36,140.69,235.13,14.0,66.67,0.0,50.89,80.0,1,183.0
135182,2013,O,Brisbane,65.0,AUS,$,494230.0,atp250,Hard,81.82,25.0,82.35,50.0,6.0,29.233,Two-Handed Backhand,100.0,,GER,1.0,66.0,Right-Handed,Florian Mayer,20.0,100.0,10.0,31.48,195.0,335.17,10.0,82.0,0.0,55.77,82.0,1,191.0
