id,year,indoor_outdoor,location,match_duration,pais_anfitrion,prize_currency,prize_money,series_category_id,surface,1ST_SERVE_POINTS_WON,1ST_SERVE_RETURN_POINTS_WON,2ND_SERVE_POINTS_WON,2ND_SERVE_RETURN_POINTS_WON,ACES,age,backhand,BREAK_POINTS_CONVERTED,BREAK_POINTS_SAVED,citizenship,DOUBLE_FAULTS,FIRST_SERVE,handedness,name,PERCENTAGE_RETURN_GAME_WON,PERCENTAGE_SERVE_GAME_WON,RETURN_GAMES_PLAYED,RETURN_POINTS_WON,RETURN_RATING,SERVE_RATING,SERVICE_GAMES_PLAYED,SERVICE_POINTS_WON,tiebreaks_won,TOTAL_POINTS_WON,weight,Event,height
44049,2005,O,Doha,85.0,QAT,$,1000000.0,atp250,Hard,80.85,33.33,38.89,56.52,3.0,22.75,Two-Handed Backhand,28.57,100.0,SVK,2.0,72.31,Right-Handed,Karol Beck,22.22,0.0,9.0,41.94,140.65,193.05,10.0,69.23,0.0,55.91,74.0,1,180.0
44050,2005,O,Doha,100.0,QAT,$,1000000.0,atp250,Hard,73.81,48.08,43.75,46.15,7.0,29.524,One-Handed Backhand,28.57,50.0,ESP,1.0,72.41,Right-Handed,Albert Costa,44.44,40.0,9.0,47.44,167.25,235.97,10.0,65.52,0.0,55.15,78.0,1,180.0
44051,2005,O,Doha,141.0,QAT,$,1000000.0,atp250,Hard,69.14,33.73,56.0,55.56,4.0,23.314,Two-Handed Backhand,62.5,66.67,SUI,3.0,76.42,Right-Handed,Marco Chiudinelli,29.41,11.76,17.0,39.09,181.2,214.32,17.0,66.04,0.0,52.31,85.0,1,185.0
44052,2005,O,Doha,101.0,QAT,$,1000000.0,atp250,Hard,79.59,30.19,70.0,54.05,1.0,23.586,Two-Handed Backhand,11.11,100.0,RUS,1.0,71.01,Right-Handed,Nikolay Davydenko,10.0,63.64,10.0,40.0,105.35,284.24,11.0,76.81,1.0,55.97,72.0,1,178.0
44053,2005,O,Doha,58.0,QAT,$,1000000.0,atp250,Hard,69.23,56.0,53.85,57.14,1.0,23.403,One-Handed Backhand,71.43,,SUI,1.0,75.0,Right-Handed,Roger Federer,71.43,100.0,7.0,56.52,256.0,298.08,7.0,65.38,0.0,61.22,85.0,1,185.0
44054,2005,O,Doha,97.0,QAT,$,1000000.0,atp250,Hard,75.0,43.18,67.86,42.86,3.0,26.596,Two-Handed Backhand,100.0,80.0,FRA,0.0,58.82,Right-Handed,Sebastien Grosjean,30.0,10.0,10.0,43.08,216.04,214.68,10.0,72.06,1.0,57.89,73.0,1,175.0
44055,2005,O,Doha,8.0,QAT,$,1000000.0,atp250,Hard,90.0,72.0,50.0,60.0,3.0,29.0,One-Handed Backhand,83.33,,KOR,1.0,93.75,Right-Handed,Hyung-Taik Lee,83.33,100.0,6.0,70.0,298.67,335.75,7.0,87.5,0.0,79.03,82.0,1,180.0
44056,2005,O,Doha,,QAT,$,1000000.0,atp250,Hard,,,,,,25.79,One-Handed Backhand,,,CRO,,,Right-Handed,Ivan Ljubicic,,,,,,,,,0.0,,92.0,1,193.0
44057,2005,O,Doha,70.0,QAT,$,1000000.0,atp250,Hard,91.43,28.57,54.55,35.71,2.0,23.287,One-Handed Backhand,28.57,,ESP,2.0,61.4,Left-Handed,Feliciano Lopez,20.0,100.0,10.0,32.14,112.86,307.38,11.0,77.19,0.0,54.87,88.0,1,188.0
44058,2005,O,Doha,117.0,QAT,$,1000000.0,atp250,Hard,78.95,43.28,44.12,52.63,2.0,22.424,Two-Handed Backhand,23.53,57.14,ESP,0.0,52.78,Right-Handed,Marc Lopez,33.33,8.33,12.0,46.67,152.78,186.18,12.0,62.5,1.0,53.11,73.0,1,175.0
44059,2005,O,Doha,97.0,QAT,$,1000000.0,atp250,Hard,81.82,42.0,55.88,5.88,3.0,18.338,Two-Handed Backhand,40.0,80.0,FRA,2.0,49.25,Right-Handed,Gael Monfils,18.18,18.18,11.0,32.84,106.06,206.14,11.0,68.66,1.0,50.75,85.0,1,193.0
44060,2005,O,Doha,94.0,QAT,$,1000000.0,atp250,Hard,80.0,45.65,36.0,53.33,3.0,18.583,Two-Handed Backhand,100.0,50.0,ESP,5.0,64.29,Left-Handed,Rafael Nadal,30.0,45.45,10.0,47.54,228.99,223.74,11.0,64.29,1.0,56.49,85.0,1,185.0
44061,2005,O,Doha,87.0,QAT,$,1000000.0,atp250,Hard,82.05,43.75,51.35,38.1,7.0,31.325,Unknown Backhand,42.86,90.0,GBR,2.0,51.32,Left-Handed,Greg Rusedski,30.0,-72.73,10.0,42.03,154.7,116.99,11.0,67.11,0.0,55.17,91.0,1,193.0
44062,2005,O,Doha,79.0,QAT,$,1000000.0,atp250,Hard,72.97,28.21,70.83,72.0,9.0,32.067,Two-Handed Backhand,37.5,100.0,FRA,2.0,60.66,Right-Handed,Fabrice Santoro,33.33,-11.11,9.0,45.31,171.04,200.35,9.0,72.13,0.0,58.4,74.0,1,178.0
44063,2005,O,Doha,113.0,QAT,$,1000000.0,atp250,Hard,72.22,19.57,53.85,50.0,16.0,23.873,Unknown Backhand,100.0,60.0,ITA,1.0,58.06,Right-Handed,Uros Vico,21.43,46.67,14.0,31.58,190.99,245.8,15.0,64.52,0.0,49.7,83.0,1,188.0
44064,2005,O,Doha,54.0,QAT,$,1000000.0,atp250,Hard,84.62,36.36,57.89,62.96,5.0,21.134,Two-Handed Backhand,80.0,100.0,ESP,3.0,57.78,Left-Handed,Fernando Verdasco,50.0,75.0,8.0,51.02,229.33,277.29,8.0,73.33,0.0,61.7,90.0,1,188.0
44065,2005,O,Doha,77.0,QAT,$,1000000.0,atp250,Hard,88.89,41.67,47.06,73.68,9.0,29.524,One-Handed Backhand,50.0,75.0,ESP,2.0,61.36,Right-Handed,Albert Costa,55.56,12.5,9.0,50.75,220.91,216.81,8.0,72.73,0.0,59.46,78.0,1,180.0
44066,2005,O,Doha,108.0,QAT,$,1000000.0,atp250,Hard,65.0,40.48,59.26,55.88,1.0,23.586,Two-Handed Backhand,23.53,60.0,RUS,1.0,59.7,Right-Handed,Nikolay Davydenko,40.0,20.0,10.0,47.37,159.89,203.96,10.0,62.69,1.0,54.55,72.0,1,178.0
