id,year,indoor_outdoor,location,match_duration,pais_anfitrion,prize_currency,prize_money,series_category_id,surface,1ST_SERVE_POINTS_WON,1ST_SERVE_RETURN_POINTS_WON,2ND_SERVE_POINTS_WON,2ND_SERVE_RETURN_POINTS_WON,ACES,age,backhand,BREAK_POINTS_CONVERTED,BREAK_POINTS_SAVED,citizenship,DOUBLE_FAULTS,FIRST_SERVE,handedness,name,PERCENTAGE_RETURN_GAME_WON,PERCENTAGE_SERVE_GAME_WON,RETURN_GAMES_PLAYED,RETURN_POINTS_WON,RETURN_RATING,SERVE_RATING,SERVICE_GAMES_PLAYED,SERVICE_POINTS_WON,tiebreaks_won,TOTAL_POINTS_WON,weight,Event,height
226385,2021,O,Delray Beach,78.0,USA,$,418195.0,atp250,Hard,66.67,39.39,60.87,46.43,0.0,30.301,Two-Handed Backhand,66.67,80.0,CRO,2.0,61.02,Right-Handed,Viktor Galovic,40.0,0.0,10.0,42.62,192.49,186.55,9.0,64.41,0.0,53.33,88.0,1,193.0
226386,2021,O,Delray Beach,80.0,USA,$,418195.0,atp250,Hard,72.73,33.33,66.67,30.43,8.0,26.607,Two-Handed Backhand,100.0,100.0,USA,3.0,64.71,Right-Handed,Christian Harrison,20.0,-20.0,10.0,32.08,183.77,189.1,10.0,70.59,0.0,53.72,77.0,1,180.0
226387,2021,O,Delray Beach,,USA,$,418195.0,atp250,Hard,,,,,,18.905,Two-Handed Backhand,,,USA,,,Right-Handed,Zane Khan,,,,,,,,,,,75.0,1,185.0
226388,2021,O,Delray Beach,68.0,USA,$,418195.0,atp250,Hard,82.05,27.27,28.57,76.47,2.0,29.86,Two-Handed Backhand,80.0,80.0,USA,3.0,73.58,Left-Handed,Kevin King,50.0,0.0,8.0,44.0,233.74,183.21,9.0,67.92,0.0,56.31,86.0,1,191.0
226389,2021,O,Delray Beach,,USA,$,418195.0,atp250,Hard,,,,,,22.932,Two-Handed Backhand,,,USA,,,Right-Handed,Stefan Kozlov,,,,,,,,,,,79.0,1,183.0
226390,2021,O,Delray Beach,107.0,USA,$,418195.0,atp250,Hard,72.73,33.85,53.85,59.26,4.0,25.889,Two-Handed Backhand,36.36,71.43,POR,4.0,67.9,Left-Handed,Goncalo Oliveira,30.77,7.69,13.0,41.3,160.24,202.17,13.0,66.67,0.0,53.18,79.0,1,185.0
226391,2021,O,Delray Beach,143.0,USA,$,418195.0,atp250,Hard,68.12,33.33,59.46,58.33,6.0,28.873,Two-Handed Backhand,62.5,40.0,ECU,4.0,65.09,Left-Handed,Roberto Quiroz,29.41,58.82,17.0,41.9,183.58,253.49,17.0,65.09,0.0,53.55,88.0,1,193.0
226392,2021,O,Delray Beach,121.0,USA,$,418195.0,atp250,Hard,70.0,39.62,45.24,54.05,1.0,31.456,Two-Handed Backhand,44.44,66.67,USA,11.0,58.82,Left-Handed,Donald Young,30.77,-7.14,13.0,45.56,168.89,156.92,14.0,59.8,0.0,53.12,79.0,1,183.0
226393,2021,O,Delray Beach,168.0,USA,$,418195.0,atp250,Hard,66.67,44.19,50.0,58.0,9.0,26.607,Two-Handed Backhand,46.15,72.73,USA,5.0,61.06,Right-Handed,Christian Harrison,37.5,-26.67,16.0,49.26,185.84,155.06,15.0,60.18,1.0,54.22,77.0,1,180.0
226394,2021,O,Delray Beach,59.0,USA,$,418195.0,atp250,Hard,81.58,25.81,54.55,57.14,3.0,29.86,Two-Handed Backhand,50.0,100.0,USA,1.0,77.55,Left-Handed,Kevin King,33.33,55.56,9.0,38.46,166.28,271.23,9.0,75.51,0.0,56.44,86.0,1,191.0
226395,2021,O,Delray Beach,86.0,USA,$,418195.0,atp250,Hard,80.49,34.88,61.11,57.58,5.0,28.873,Two-Handed Backhand,25.0,75.0,ECU,1.0,69.49,Left-Handed,Roberto Quiroz,30.0,36.36,10.0,44.74,147.46,251.45,11.0,74.58,0.0,57.78,88.0,1,193.0
226396,2021,O,Delray Beach,145.0,USA,$,418195.0,atp250,Hard,61.54,31.58,48.94,65.52,1.0,31.456,Two-Handed Backhand,54.55,61.54,USA,10.0,58.04,Left-Handed,Donald Young,40.0,-40.0,15.0,43.02,191.64,119.51,15.0,56.25,0.0,50.51,79.0,1,183.0
226397,2021,O,Delray Beach,69.0,USA,$,418195.0,atp250,Hard,88.0,46.88,57.69,58.82,0.0,27.467,Two-Handed Backhand,66.67,100.0,USA,0.0,49.02,Right-Handed,Bjorn Fratangelo,50.0,50.0,8.0,51.02,222.37,244.71,8.0,72.55,0.0,62.0,79.0,1,183.0
226398,2021,O,Delray Beach,81.0,USA,$,418195.0,atp250,Hard,76.92,33.33,52.0,57.14,3.0,24.553,Two-Handed Backhand,42.86,83.33,COL,2.0,60.94,Right-Handed,Daniel Elahi Galan,30.0,-10.0,10.0,43.75,163.33,180.86,10.0,67.19,0.0,55.47,72.0,1,191.0
226399,2021,O,Delray Beach,80.0,USA,$,418195.0,atp250,Hard,85.29,43.18,41.18,60.0,10.0,26.607,Two-Handed Backhand,30.77,66.67,USA,4.0,66.67,Right-Handed,Christian Harrison,44.44,44.44,9.0,49.28,178.4,243.58,9.0,70.59,0.0,58.33,77.0,1,180.0
226400,2021,O,Delray Beach,93.0,USA,$,418195.0,atp250,Hard,67.92,24.14,51.43,47.62,8.0,20.505,Two-Handed Backhand,75.0,83.33,USA,1.0,60.23,Right-Handed,Sebastian Korda,30.0,-10.0,10.0,34.0,176.76,176.58,10.0,61.36,0.0,51.45,77.0,1,196.0
226401,2021,O,Delray Beach,136.0,USA,$,418195.0,atp250,Hard,80.95,34.92,39.47,43.24,27.0,41.86,One-Handed Backhand,37.5,50.0,CRO,9.0,62.38,Right-Handed,Ivo Karlovic,20.0,62.5,15.0,38.0,135.66,263.3,16.0,65.35,0.0,51.74,104.0,1,211.0
226402,2021,O,Delray Beach,100.0,USA,$,418195.0,atp250,Hard,73.68,40.48,55.17,55.56,2.0,26.602,Two-Handed Backhand,66.67,88.89,BRA,1.0,56.72,Left-Handed,Thiago Monteiro,36.36,-70.0,11.0,46.38,199.06,116.57,10.0,65.67,0.0,55.88,78.0,1,183.0
226403,2021,O,Delray Beach,115.0,USA,$,418195.0,atp250,Hard,77.27,22.73,44.44,57.5,9.0,26.099,Two-Handed Backhand,50.0,92.31,ITA,3.0,70.97,Right-Handed,Gianluca Mager,23.08,-92.31,13.0,39.29,153.3,106.38,13.0,67.74,0.0,54.24,77.0,1,188.0
226404,2021,O,Delray Beach,67.0,USA,$,418195.0,atp250,Hard,83.87,53.57,58.82,63.16,3.0,25.373,Two-Handed Backhand,50.0,100.0,GBR,2.0,64.58,Left-Handed,Cameron Norrie,57.14,25.0,7.0,57.45,223.87,233.28,8.0,75.0,0.0,66.32,82.0,1,188.0
226405,2021,O,Delray Beach,67.0,USA,$,418195.0,atp250,Hard,68.42,40.74,61.9,58.33,5.0,23.639,Two-Handed Backhand,66.67,66.67,USA,0.0,64.41,Right-Handed,Tommy Paul,50.0,44.44,8.0,49.02,215.74,244.18,9.0,66.1,0.0,58.18,82.0,1,185.0
226406,2021,O,Delray Beach,70.0,USA,$,418195.0,atp250,Hard,83.33,40.62,46.67,40.0,13.0,33.25,Two-Handed Backhand,50.0,85.71,USA,2.0,54.55,Right-Handed,Sam Querrey,33.33,-30.0,9.0,40.38,163.96,165.55,10.0,66.67,0.0,55.08,95.0,1,198.0
226407,2021,O,Delray Beach,89.0,USA,$,418195.0,atp250,Hard,75.0,31.43,46.15,64.52,7.0,28.873,Two-Handed Backhand,71.43,25.0,ECU,2.0,55.17,Left-Handed,Roberto Quiroz,45.45,50.0,11.0,46.97,212.83,231.33,10.0,62.07,1.0,54.03,88.0,1,193.0
226408,2021,O,Delray Beach,76.0,USA,$,418195.0,atp250,Hard,76.92,34.88,64.0,63.33,2.0,22.965,Two-Handed Backhand,50.0,50.0,USA,1.0,50.98,Right-Handed,Frances Tiafoe,40.0,66.67,10.0,46.58,188.22,259.57,9.0,70.59,0.0,56.45,86.0,1,188.0
226409,2021,O,Delray Beach,90.0,USA,$,418195.0,atp250,Hard,69.05,40.91,61.9,59.26,4.0,26.607,Two-Handed Backhand,36.36,66.67,USA,2.0,66.67,Right-Handed,Christian Harrison,40.0,0.0,10.0,47.89,176.53,199.62,10.0,66.67,1.0,56.72,77.0,1,180.0
226410,2021,O,Delray Beach,59.0,USA,$,418195.0,atp250,Hard,80.77,38.71,76.47,70.0,5.0,23.905,Two-Handed Backhand,57.14,100.0,POL,0.0,60.47,Right-Handed,Hubert Hurkacz,50.0,75.0,8.0,50.98,215.85,297.7,8.0,79.07,0.0,63.83,81.0,1,196.0
226411,2021,O,Delray Beach,93.0,USA,$,418195.0,atp250,Hard,85.42,21.57,50.0,45.83,22.0,35.698,Two-Handed Backhand,25.0,,USA,1.0,72.73,Right-Handed,John Isner,9.09,100.0,11.0,29.33,101.49,329.14,11.0,75.76,1.0,51.06,108.0,1,208.0
226412,2021,O,Delray Beach,128.0,USA,$,418195.0,atp250,Hard,62.07,38.18,62.07,57.14,3.0,20.505,Two-Handed Backhand,83.33,81.82,USA,2.0,66.67,Right-Handed,Sebastian Korda,35.71,-53.85,14.0,44.58,214.37,137.96,13.0,62.07,0.0,53.53,77.0,1,196.0
226413,2021,O,Delray Beach,82.0,USA,$,418195.0,atp250,Hard,77.78,23.53,43.75,67.74,4.0,26.099,Two-Handed Backhand,75.0,87.5,ITA,8.0,62.79,Right-Handed,Gianluca Mager,33.33,-50.0,9.0,44.62,199.6,130.32,10.0,65.12,1.0,56.29,77.0,1,188.0
226414,2021,O,Delray Beach,95.0,USA,$,418195.0,atp250,Hard,75.76,45.16,46.15,54.84,5.0,25.373,Two-Handed Backhand,62.5,50.0,GBR,5.0,55.93,Left-Handed,Cameron Norrie,50.0,40.0,10.0,50.0,212.5,217.84,10.0,62.71,0.0,56.2,82.0,1,188.0
226415,2021,O,Delray Beach,59.0,USA,$,418195.0,atp250,Hard,90.32,22.58,80.0,66.67,4.0,28.873,Two-Handed Backhand,60.0,,ECU,0.0,75.61,Left-Handed,Roberto Quiroz,33.33,100.0,9.0,36.96,182.58,349.93,9.0,87.8,0.0,60.92,88.0,1,193.0
226416,2021,O,Delray Beach,109.0,USA,$,418195.0,atp250,Hard,83.33,29.79,43.24,55.88,6.0,22.965,Two-Handed Backhand,66.67,71.43,USA,7.0,56.47,Right-Handed,Frances Tiafoe,30.77,7.69,13.0,40.74,183.11,189.74,13.0,65.88,0.0,53.61,86.0,1,188.0
226417,2021,O,Delray Beach,94.0,USA,$,418195.0,atp250,Hard,82.98,24.44,54.55,52.63,2.0,26.607,Two-Handed Backhand,18.18,75.0,USA,4.0,68.12,Right-Handed,Christian Harrison,18.18,36.36,11.0,37.35,113.44,240.0,11.0,73.91,1.0,53.95,77.0,1,180.0
226418,2021,O,Delray Beach,85.0,USA,$,418195.0,atp250,Hard,74.36,34.88,53.33,60.0,2.0,23.905,Two-Handed Backhand,30.0,66.67,POL,1.0,72.22,Right-Handed,Hubert Hurkacz,30.0,50.0,10.0,44.12,154.88,250.91,10.0,68.52,0.0,54.92,81.0,1,196.0
