id,year,indoor_outdoor,location,match_duration,pais_anfitrion,prize_currency,prize_money,series_category_id,surface,1ST_SERVE_POINTS_WON,1ST_SERVE_RETURN_POINTS_WON,2ND_SERVE_POINTS_WON,2ND_SERVE_RETURN_POINTS_WON,ACES,age,backhand,BREAK_POINTS_CONVERTED,BREAK_POINTS_SAVED,citizenship,DOUBLE_FAULTS,FIRST_SERVE,handedness,name,PERCENTAGE_RETURN_GAME_WON,PERCENTAGE_SERVE_GAME_WON,RETURN_GAMES_PLAYED,RETURN_POINTS_WON,RETURN_RATING,SERVE_RATING,SERVICE_GAMES_PLAYED,SERVICE_POINTS_WON,tiebreaks_won,TOTAL_POINTS_WON,weight,Event,height
122718,2012,O,Brisbane,136.0,AUS,$,486000.0,atp250,Hard,79.69,25.35,48.57,50.0,12.0,28.465,Two-Handed Backhand,100.0,0.0,RUS,4.0,64.65,Right-Handed,Igor Andreev,11.76,88.24,17.0,32.67,187.12,289.14,17.0,68.69,1.0,50.5,80.0,1,185.0
122719,2012,O,Brisbane,135.0,AUS,$,486000.0,atp250,Hard,55.74,42.86,50.0,66.67,0.0,19.725,Unknown Backhand,50.0,28.57,AUS,0.0,67.03,Right-Handed,Maverick Banes,46.67,35.71,15.0,48.81,206.19,208.48,14.0,53.85,0.0,51.43,,1,
122720,2012,O,Brisbane,64.0,AUS,$,486000.0,atp250,Hard,84.85,46.15,47.06,66.67,3.0,27.096,Unknown Backhand,66.67,100.0,AUS,1.0,66.0,Right-Handed,Colin Ebelthite,57.14,50.0,7.0,54.55,236.63,249.91,8.0,72.0,0.0,63.83,,1,
122721,2012,O,Brisbane,95.0,AUS,$,486000.0,atp250,Hard,72.88,40.32,51.43,55.56,20.0,26.422,One-Handed Backhand,60.0,25.0,AUS,2.0,62.77,Left-Handed,Chris Guccione,40.0,66.67,15.0,45.92,195.88,271.74,15.0,64.89,0.0,55.21,92.0,1,201.0
122722,2012,O,Brisbane,74.0,AUS,$,486000.0,atp250,Hard,59.09,35.0,66.67,57.14,2.0,20.381,Two-Handed Backhand,100.0,77.78,LTU,3.0,64.71,Right-Handed,Laurynas Grigelis,40.0,-60.0,10.0,45.33,232.14,129.46,10.0,61.76,1.0,53.15,78.0,1,183.0
122723,2012,O,Brisbane,59.0,AUS,$,486000.0,atp250,Hard,83.33,38.46,41.18,51.85,5.0,32.483,Two-Handed Backhand,57.14,66.67,CZE,2.0,67.92,Right-Handed,Jan Hernych,50.0,44.44,8.0,45.28,197.46,239.88,9.0,69.81,0.0,57.55,83.0,1,188.0
122724,2012,O,Brisbane,66.0,AUS,$,486000.0,atp250,Hard,81.82,42.86,46.15,63.64,5.0,23.62,Two-Handed Backhand,55.56,80.0,JPN,2.0,71.74,Right-Handed,Tatsuma Ito,62.5,-12.5,8.0,52.0,224.55,190.21,8.0,71.74,0.0,61.46,75.0,1,180.0
122725,2012,O,Brisbane,97.0,AUS,$,486000.0,atp250,Hard,91.49,13.64,50.0,51.72,8.0,22.919,Unknown Backhand,25.0,50.0,AUS,2.0,64.38,Right-Handed,Greg Jones,8.33,75.0,12.0,28.77,98.69,286.87,12.0,76.71,2.0,52.74,84.0,1,193.0
122726,2012,O,Brisbane,76.0,AUS,$,486000.0,atp250,Hard,78.05,28.21,65.0,72.0,3.0,25.612,Two-Handed Backhand,50.0,75.0,GER,3.0,67.21,Right-Handed,Tobias Kamke,33.33,30.0,9.0,45.31,183.54,240.26,10.0,73.77,1.0,59.2,76.0,1,178.0
122727,2012,O,Brisbane,136.0,AUS,$,486000.0,atp250,Hard,72.46,27.59,39.29,61.9,5.0,24.212,Two-Handed Backhand,29.41,50.0,CAN,8.0,71.13,Left-Handed,Jesse Levine,33.33,25.0,15.0,42.0,152.24,204.88,16.0,62.89,0.0,52.28,68.0,1,175.0
122728,2012,O,Brisbane,156.0,AUS,$,486000.0,atp250,Hard,72.5,26.76,55.56,50.0,3.0,24.104,Two-Handed Backhand,33.33,57.14,AUS,1.0,74.77,Right-Handed,Michael Look,11.76,31.25,17.0,35.9,121.86,236.07,16.0,68.22,2.0,51.34,73.0,1,188.0
122729,2012,O,Brisbane,103.0,AUS,$,486000.0,atp250,Hard,75.76,26.09,41.38,63.16,7.0,22.548,Two-Handed Backhand,57.14,77.78,AUS,3.0,69.47,Right-Handed,John Millman,30.77,-14.29,13.0,36.92,177.16,176.32,14.0,65.26,0.0,53.75,79.0,1,183.0
